"filename", "language", "C#", "XML", "Properties", "JSON", "comment", "blank", "total"
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Abstract\ICityRepository.cs", "C#", -7, 0, 0, 0, 0, -4, -11
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Abstract\ICommentRepository.cs", "C#", -12, 0, 0, 0, 0, -4, -16
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Abstract\IComplaintRepository.cs", "C#", -11, 0, 0, 0, 0, -3, -14
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Abstract\IDistrictRepository.cs", "C#", -8, 0, 0, 0, 0, -3, -11
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Abstract\IFeedbackRepository.cs", "C#", -11, 0, 0, 0, 0, -2, -13
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Abstract\IOrderRepository.cs", "C#", -26, 0, 0, 0, 0, -3, -29
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Abstract\IPaymentRepository.cs", "C#", -5, 0, 0, 0, -14, -3, -22
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Abstract\IProductRepository.cs", "C#", -23, 0, 0, 0, 0, -3, -26
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Abstract\IRepository.cs", "C#", -8, 0, 0, 0, 0, -2, -10
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Abstract\IRestaurantRepository.cs", "C#", -17, 0, 0, 0, 0, -5, -22
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Concrete\AddressRepository.cs", "C#", -28, 0, 0, 0, 0, -5, -33
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Concrete\ApplySellerRepository.cs", "C#", -35, 0, 0, 0, 0, -6, -41
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Concrete\CartItemRepository.cs", "C#", -43, 0, 0, 0, 0, -6, -49
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Concrete\CartRepository.cs", "C#", -14, 0, 0, 0, 0, -3, -17
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Concrete\CategoryRepository.cs", "C#", -50, 0, 0, 0, 0, -8, -58
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Concrete\CityRepository.cs", "C#", -21, 0, 0, 0, 0, -5, -26
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Concrete\CommentRepository.cs", "C#", -56, 0, 0, 0, 0, -9, -65
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Concrete\ComplaintRepository.cs", "C#", -54, 0, 0, 0, 0, -8, -62
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Concrete\DataContext.cs", "C#", -369, 0, 0, 0, -2, -13, -384
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Concrete\DistrictRepository.cs", "C#", -28, 0, 0, 0, 0, -5, -33
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Concrete\FeedbackRepository.cs", "C#", -54, 0, 0, 0, 0, -8, -62
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Concrete\OrderRepository.cs", "C#", -186, 0, 0, 0, 0, -24, -210
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Concrete\ProductRepository.cs", "C#", -169, 0, 0, 0, 0, -21, -190
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Concrete\Repository.cs", "C#", -60, 0, 0, 0, 0, -5, -65
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Concrete\RestaurantRepository.cs", "C#", -109, 0, 0, 0, 0, -14, -123
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Migrations\20240312113210_init1.Designer.cs", "C#", -1155, 0, 0, 0, -2, -194, -1351
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Migrations\20240312113210_init1.cs", "C#", -501, 0, 0, 0, -3, -43, -547
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\Migrations\DataContextModelSnapshot.cs", "C#", -1153, 0, 0, 0, -1, -194, -1348
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\YemekGuru.repository.csproj", "XML", 0, -19, 0, 0, 0, -5, -24
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\bin\Debug\net7.0\YemekGuru.repository.deps.json", "JSON", 0, 0, 0, -1378, 0, 0, -1378
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\bin\Debug\net7.0\YemekGuru.repository.runtimeconfig.json", "JSON", 0, 0, 0, -12, 0, 0, -12
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", -3, 0, 0, 0, -1, -1, -5
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\obj\Debug\net7.0\YemekGuru.repository.AssemblyInfo.cs", "C#", -9, 0, 0, 0, -9, -5, -23
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\obj\Debug\net7.0\YemekGuru.repository.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, -13, 0, 0, -1, -14
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\obj\Debug\net7.0\YemekGuru.repository.GlobalUsings.g.cs", "C#", -7, 0, 0, 0, -1, -1, -9
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", -3, 0, 0, 0, -1, -1, -5
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\obj\Debug\net8.0\YemekGuru.repository.AssemblyInfo.cs", "C#", -9, 0, 0, 0, -9, -5, -23
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\obj\Debug\net8.0\YemekGuru.repository.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, -13, 0, 0, -1, -14
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\obj\Debug\net8.0\YemekGuru.repository.GlobalUsings.g.cs", "C#", -7, 0, 0, 0, -1, -1, -9
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\obj\YemekGuru.repository.csproj.EntityFrameworkCore.targets", "XML", 0, -28, 0, 0, 0, -1, -29
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\obj\YemekGuru.repository.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, -162, 0, 0, -162
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\obj\YemekGuru.repository.csproj.nuget.g.props", "XML", 0, -20, 0, 0, 0, 0, -20
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\obj\YemekGuru.repository.csproj.nuget.g.targets", "XML", 0, -8, 0, 0, 0, 0, -8
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.repository\obj\project.assets.json", "JSON", 0, 0, 0, -3855, 0, 0, -3855
"Total", "-", -4060, -50, -13, -5232, -33, -605, -9993
