"filename", "language", "XML", "Razor", "CSS", "Markdown", "JavaScript", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.business\Concrete\FeedbackManager.cs", "C#", 0, 0, 0, 0, 0, -52, 0, 0, 0, -12, -64
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.business\Concrete\OrderManager.cs", "C#", 0, 0, 0, 0, 0, -112, 0, 0, 0, -27, -139
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.business\Concrete\ProductManager.cs", "C#", 0, 0, 0, 0, 0, -96, 0, 0, 0, -24, -120
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.business\Concrete\RestaurantManager.cs", "C#", 0, 0, 0, 0, 0, -77, 0, 0, 0, -19, -96
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.business\YemekGuru.business.csproj", "XML", -11, 0, 0, 0, 0, 0, 0, 0, 0, -4, -15
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.business\bin\Debug\net7.0\YemekGuru.business.deps.json", "JSON", 0, 0, 0, 0, 0, 0, -1322, 0, 0, 0, -1322
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.business\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 0, 0, -3, 0, 0, -1, -1, -5
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.business\obj\Debug\net7.0\YemekGuru.business.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, -9, 0, 0, -9, -5, -23
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.business\obj\Debug\net7.0\YemekGuru.business.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, -13, 0, -1, -14
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.business\obj\Debug\net7.0\YemekGuru.business.GlobalUsings.g.cs", "C#", 0, 0, 0, 0, 0, -7, 0, 0, -1, -1, -9
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.business\obj\YemekGuru.business.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 0, 0, 0, -234, 0, 0, 0, -234
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.business\obj\YemekGuru.business.csproj.nuget.g.props", "XML", -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.business\obj\YemekGuru.business.csproj.nuget.g.targets", "XML", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.business\obj\project.assets.json", "JSON", 0, 0, 0, 0, 0, 0, -3731, 0, 0, 0, -3731
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Controllers\AccountController.cs", "C#", 0, 0, 0, 0, 0, 154, 0, 0, 0, 15, 169
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Controllers\AdminController.cs", "C#", 0, 0, 0, 0, 0, 1306, 0, 0, 6, 88, 1400
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Controllers\CartController.cs", "C#", 0, 0, 0, 0, 0, 478, 0, 0, 24, 57, 559
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Controllers\HomeController.cs", "C#", 0, 0, 0, 0, 0, 324, 0, 0, 0, 32, 356
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Controllers\RestaurantController.cs", "C#", 0, 0, 0, 0, 0, 148, 0, 0, 0, 14, 162
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Controllers\SellerController.cs", "C#", 0, 0, 0, 0, 0, 801, 0, 0, 2, 79, 882
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Controllers\UserController.cs", "C#", 0, 0, 0, 0, 0, 537, 0, 0, 0, 62, 599
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\EmailService\EmailSender.cs", "C#", 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
